candidate,display_dataset,dataset_label,job,window,step,dimension,dimension_arg,q_dimension,h0,horizon,bwar_raw_mean,bwar_raw_se,bwar_w2_mean,bwar_w2_se,best_raw_method,best_raw_mean,best_w2_method,best_w2_mean,best_non_bwar_raw_method,best_non_bwar_raw_mean,best_non_bwar_w2_method,best_non_bwar_w2_mean,bwar_best_raw,bwar_best_w2,raw_margin,raw_margin_fraction,w2_margin,w2_margin_fraction,n_origins
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,3,0.33224818085450036,0.031781302965486535,12.966421468851902,2.694842609448288,cholesky_gaussian_ar,0.3321528857138928,bwar_barycenter,12.966421468851902,cholesky_gaussian_ar,0.3321528857138928,cholesky_gaussian_ar,14.028264703571613,False,True,-9.529514060757638e-05,-0.00028690143818187674,1.0618432347197118,0.07569312792118651,5
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,4,0.33955717428707566,0.025440878314501935,13.24949376227541,2.4713164475256204,cholesky_gaussian_ar,0.33385873687720447,cholesky_gaussian_ar,13.213648538152857,cholesky_gaussian_ar,0.33385873687720447,cholesky_gaussian_ar,13.213648538152857,False,False,-0.005698437409871193,-0.017068408822163362,-0.03584522412255353,-0.002712742360223572,5
divvy,Divvy,bike-share station trip-count level,divvy_2024_w72_s24_d30,72,24,30,30,495,3,6,0.3720802821846588,0.048496654720530094,16.366178984213597,4.66064155400614,persistence,0.33206126111383105,cholesky_gaussian_ar,16.032744380626998,persistence,0.33206126111383105,cholesky_gaussian_ar,16.032744380626998,False,False,-0.04001902107082772,-0.12051698212731038,-0.3334346035865998,-0.020797100962297015,5
