job,dataset,origin,method,selected_reference,horizon,n_matrices,dimension,fit_end,val_end,test_end,ar_model,selection_metric,domain_metric,domain_metric_label,window,step,months,physical_units,seasonal_period_windows,station_selection_block,standardization_block,evaluation_protocol,ridge,val_w2_mean,val_w2_median,val_log_score_mean,val_log_score_median,val_domain_loss_mean,val_domain_loss_median,test_w2_mean,test_w2_median,test_w2_q90,test_log_score_mean,test_log_score_median,test_log_score_q90,test_domain_loss_mean,test_domain_loss_median,test_domain_loss_q90,n_test_pairs,min_pred_eig,candidate,display_dataset,dataset_label,dimension_arg,h0,q_dimension
divvy_2024_w72_s24_d30,divvy,0,cholesky_gaussian_ar,,4,364,30,127,181,224,full,domain,divvy_standardized_raw_mean_rmse,Divvy training-standardized station-demand mean RMSE,72,24,"202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",training-standardized,1,first_origin_fit,first_origin_fit,fractional_rolling_origin,10.0,26.2632272181666,25.05461875398608,66.30322476483997,68.66060248488697,0.5455408543313874,0.5524221949137208,18.82596176050277,16.580999392776647,30.209303368266607,91.95241039263954,55.49380344055341,72.72099317306098,0.3803192344122337,0.3370979691067279,0.5805680177376844,43,0.002013113750613365,divvy,Divvy,bike-share station trip-count level,30,3,495
divvy_2024_w72_s24_d30,divvy,0,log_euclidean_gaussian_ar,,4,364,30,127,181,224,full,domain,divvy_standardized_raw_mean_rmse,Divvy training-standardized station-demand mean RMSE,72,24,"202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",training-standardized,1,first_origin_fit,first_origin_fit,fractional_rolling_origin,10.0,27.203290272262862,27.93316299817491,70.12850950571327,72.9659198899788,0.5664296138549941,0.5739232135501011,21.838607633093886,18.498860239227717,37.722521689920626,73.69462020182318,54.09642446606919,69.76985549209999,0.3907505052577769,0.35961863309088954,0.5815248100473938,43,0.006185688691807033,divvy,Divvy,bike-share station trip-count level,30,3,495
divvy_2024_w72_s24_d30,divvy,0,persistence,,6,364,30,127,181,224,full,domain,divvy_standardized_raw_mean_rmse,Divvy training-standardized station-demand mean RMSE,72,24,"202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",training-standardized,1,first_origin_fit,first_origin_fit,fractional_rolling_origin,,17.01111111898957,15.920828990752115,70.708897113689,68.11169387160928,0.330832915302337,0.31084849436931816,23.124422136885215,21.0269280014083,35.9907455316601,33362.124632062565,74.54166852462205,103.57414454715554,0.4080485391526777,0.37203243671240555,0.6093939926172873,43,9.999999999247803e-06,divvy,Divvy,bike-share station trip-count level,30,3,495
divvy_2024_w72_s24_d30,divvy,0,raw_var_window_ar,,6,364,30,127,181,224,full,domain,divvy_standardized_raw_mean_rmse,Divvy training-standardized station-demand mean RMSE,72,24,"202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",training-standardized,1,first_origin_fit,first_origin_fit,fractional_rolling_origin,1e-06,99.68524469335,107.00090726006889,2522641082.991051,2431727279.092821,0.8362071848371767,0.8765854968329743,117.53597450937625,118.84602220935724,143.3119770478071,2849202575.4116497,2746025025.517187,3552271920.816869,0.8357679537616179,0.8294991686449192,1.0761902671849302,43,,divvy,Divvy,bike-share station trip-count level,30,3,495
divvy_2024_w72_s24_d30,divvy,0,seasonal_window_naive,,6,364,30,127,181,224,full,domain,divvy_standardized_raw_mean_rmse,Divvy training-standardized station-demand mean RMSE,72,24,"202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",training-standardized,1,first_origin_fit,first_origin_fit,fractional_rolling_origin,,17.011186898111223,15.920952326522887,70.71568648974281,68.11814494098428,0.330832915302337,0.31084849436931816,23.12505316938618,21.027020224265485,35.99238727926386,33287871.812701467,74.54624467180108,103.59072200838462,0.4080485391526777,0.3720324367124055,0.6093939926172871,43,9.99999947872539e-09,divvy,Divvy,bike-share station trip-count level,30,3,495
divvy_2024_w72_s24_d30,divvy,0,euclidean_gaussian_ar,,6,364,30,127,181,224,full,domain,divvy_standardized_raw_mean_rmse,Divvy training-standardized station-demand mean RMSE,72,24,"202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",training-standardized,1,first_origin_fit,first_origin_fit,fractional_rolling_origin,10.0,26.542035353027412,27.153783404914858,25672650.10206933,55.31501968175473,0.583963485621877,0.6141172386620655,20.584539345474205,18.574483262953166,31.90372373217631,11474523.168733476,50.30999607104578,40968794.60892179,0.4366198936829519,0.4021275112035593,0.677471038203311,43,9.999994337016892e-09,divvy,Divvy,bike-share station trip-count level,30,3,495
divvy_2024_w72_s24_d30,divvy,0,cholesky_gaussian_ar,,6,364,30,127,181,224,full,domain,divvy_standardized_raw_mean_rmse,Divvy training-standardized station-demand mean RMSE,72,24,"202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",training-standardized,1,first_origin_fit,first_origin_fit,fractional_rolling_origin,10.0,29.51186100334628,30.512589049241946,69.96337110814628,71.71935612017609,0.589147565789648,0.6077418732420674,20.715400359490204,19.543700462336602,36.24976351479915,66.38622496207566,55.29412721739173,70.57871353819836,0.4035874127231416,0.3613434390980987,0.6132288667307157,43,0.008006672992195485,divvy,Divvy,bike-share station trip-count level,30,3,495
divvy_2024_w72_s24_d30,divvy,0,log_euclidean_gaussian_ar,,6,364,30,127,181,224,full,domain,divvy_standardized_raw_mean_rmse,Divvy training-standardized station-demand mean RMSE,72,24,"202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",training-standardized,1,first_origin_fit,first_origin_fit,fractional_rolling_origin,1e-06,31.044091193141785,30.06447022027308,121.30264288674813,109.10710789283596,0.5706074336233259,0.5894107358985718,42.82771261076588,29.816871147984667,94.02919041312131,1823.1365727144944,77.81215909451112,158.24727711189064,0.4097496447299368,0.3458453036493063,0.6587002472939901,43,7.870381506740832e-05,divvy,Divvy,bike-share station trip-count level,30,3,495
divvy_2024_w72_s24_d30,divvy,1,persistence,,3,364,30,170,224,267,full,domain,divvy_standardized_raw_mean_rmse,Divvy training-standardized station-demand mean RMSE,72,24,"202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",training-standardized,1,first_origin_fit,first_origin_fit,fractional_rolling_origin,,32.729297987966824,32.612519974925114,5994.747820587298,78.21197219182379,0.5193764408015,0.5477929502122229,40.88931168620979,35.76144255797986,64.23866322525194,91.32205917713283,75.87240212652088,108.09549907658642,0.5786085763027403,0.5847418169397725,0.8194857016545891,43,0.014622172262076101,divvy,Divvy,bike-share station trip-count level,30,3,495
divvy_2024_w72_s24_d30,divvy,1,raw_var_window_ar,,3,364,30,170,224,267,full,domain,divvy_standardized_raw_mean_rmse,Divvy training-standardized station-demand mean RMSE,72,24,"202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",training-standardized,1,first_origin_fit,first_origin_fit,fractional_rolling_origin,1e-06,110.6648278187811,112.59508354786183,1281482402.9872572,1216569220.7740526,0.8797957236452845,0.890372250594087,105.62060136698936,101.98753359212859,152.66882098092603,1172077938.2994797,1180417821.9649684,1499250309.5667562,0.7317141382756054,0.7215572286899076,0.9655346649761595,43,,divvy,Divvy,bike-share station trip-count level,30,3,495
