origin,horizon,source_index,target_index,method,window_length,ridge,min_pred_eig,reference_residual,reference_refreshed,reference_fallback
0,4,188,192,local_bwar,24.0,1.0,0.06760333692530203,7.312239710168073e-10,1.0,0.0
0,4,189,193,local_bwar,24.0,1.0,0.07433108810000814,8.731063394404038e-10,1.0,0.0
0,4,190,194,local_bwar,24.0,1.0,0.07758986879795969,7.850768970677918e-10,1.0,0.0
0,4,191,195,local_bwar,24.0,1.0,0.07807625177252736,7.559820781063786e-10,1.0,0.0
0,4,192,196,local_bwar,24.0,1.0,0.07139260576232033,7.765616868295323e-10,1.0,0.0
0,4,193,197,local_bwar,24.0,1.0,0.09123805424770615,7.724068707450165e-10,1.0,0.0
0,4,194,198,local_bwar,24.0,1.0,0.08250284832053781,8.517283026958661e-10,1.0,0.0
0,4,195,199,local_bwar,24.0,1.0,0.07849620721596469,9.413343072904368e-10,1.0,0.0
0,4,196,200,local_bwar,24.0,1.0,0.054365290419914815,9.679365609318891e-10,1.0,0.0
0,4,197,201,local_bwar,24.0,1.0,0.07468905394290162,8.708066523427746e-10,1.0,0.0
0,4,198,202,local_bwar,24.0,1.0,0.06893333181272661,8.471197780571607e-10,1.0,0.0
0,4,199,203,local_bwar,24.0,1.0,0.07513462642001224,9.100139405026132e-10,1.0,0.0
0,4,200,204,local_bwar,24.0,1.0,0.0781213749935152,9.974245441608353e-10,1.0,0.0
0,4,201,205,local_bwar,24.0,1.0,0.08473191092529155,9.77795486644746e-10,1.0,0.0
0,4,202,206,local_bwar,24.0,1.0,0.06698754221451199,8.886634028325199e-11,1.0,0.0
0,4,203,207,local_bwar,24.0,1.0,0.07678160397363668,9.515380083546373e-11,1.0,0.0
0,4,204,208,local_bwar,24.0,1.0,0.08421282040819555,9.849618838825432e-10,1.0,0.0
0,4,205,209,local_bwar,24.0,1.0,0.09973346982257637,7.61351786648465e-10,1.0,0.0
0,4,206,210,local_bwar,24.0,1.0,0.10403154857984823,6.563319330738443e-10,1.0,0.0
0,4,207,211,local_bwar,24.0,1.0,0.10756476571729821,3.2187406401785714e-10,1.0,0.0
0,4,208,212,local_bwar,24.0,1.0,0.1062320488940412,1.5478732501733475e-10,1.0,0.0
0,4,209,213,local_bwar,24.0,1.0,0.08283246647455664,6.094862659626756e-11,1.0,0.0
0,4,210,214,local_bwar,24.0,1.0,0.0877117613720155,8.857168874880913e-10,1.0,0.0
0,4,211,215,local_bwar,24.0,1.0,0.10475836620642555,8.809116365861258e-10,1.0,0.0
0,4,212,216,local_bwar,24.0,1.0,0.1302218960012824,8.811005194716779e-10,1.0,0.0
0,4,213,217,local_bwar,24.0,1.0,0.12648127385934188,8.536607723974579e-10,1.0,0.0
0,4,214,218,local_bwar,24.0,1.0,0.10871725036955103,9.081238590359876e-10,1.0,0.0
0,4,215,219,local_bwar,24.0,1.0,0.1367007112421199,9.248441330489828e-10,1.0,0.0
0,4,216,220,local_bwar,24.0,1.0,0.10677027649084701,8.84330266182373e-10,1.0,0.0
0,4,217,221,local_bwar,24.0,1.0,0.08944522334915792,9.003097641144808e-10,1.0,0.0
0,4,218,222,local_bwar,24.0,1.0,0.09284293220254572,9.960517040499352e-10,1.0,0.0
0,4,219,223,local_bwar,24.0,1.0,0.12298322758078255,9.92968320235356e-10,1.0,0.0
0,6,175,181,local_bwar,24.0,1.0,0.08069527892224705,4.8508261513484476e-11,1.0,0.0
0,6,176,182,local_bwar,24.0,1.0,0.090035532707626,4.7148366877900284e-11,1.0,0.0
0,6,177,183,local_bwar,24.0,1.0,0.09011794463460271,5.4219547916106385e-11,1.0,0.0
0,6,178,184,local_bwar,24.0,1.0,0.09129903392994217,5.468124700803897e-11,1.0,0.0
0,6,179,185,local_bwar,24.0,1.0,0.09294437462109352,9.739157678321313e-10,1.0,0.0
0,6,180,186,local_bwar,24.0,1.0,0.08618465982016943,9.156377426307832e-10,1.0,0.0
0,6,181,187,local_bwar,24.0,1.0,0.0803500225621844,9.606182869187867e-10,1.0,0.0
0,6,182,188,local_bwar,24.0,1.0,0.07997273620001498,4.540174321174041e-11,1.0,0.0
0,6,183,189,local_bwar,24.0,1.0,0.07774075581452061,7.03769051433883e-11,1.0,0.0
0,6,184,190,local_bwar,24.0,1.0,0.05425896708300166,1.6890097184843776e-10,1.0,0.0
0,6,185,191,local_bwar,24.0,1.0,1.0229886912136889e-08,3.3961041573034585e-10,1.0,0.0
0,6,186,192,local_bwar,24.0,1.0,0.06194922210027088,5.663169327523186e-10,1.0,0.0
0,6,187,193,local_bwar,24.0,1.0,0.07762797507481219,5.82168564957197e-10,1.0,0.0
0,6,188,194,local_bwar,24.0,1.0,0.06925530049677636,7.312239710168073e-10,1.0,0.0
0,6,189,195,local_bwar,24.0,1.0,0.08116991779222156,8.731063394404038e-10,1.0,0.0
0,6,190,196,local_bwar,24.0,1.0,0.0840544152635105,7.850768970677918e-10,1.0,0.0
0,6,191,197,local_bwar,24.0,1.0,0.08671816189677861,7.559820781063786e-10,1.0,0.0
0,6,192,198,local_bwar,24.0,1.0,0.08844738367737146,7.765616868295323e-10,1.0,0.0
0,6,193,199,local_bwar,24.0,1.0,0.08726120495869864,7.724068707450165e-10,1.0,0.0
0,6,194,200,local_bwar,24.0,1.0,0.07736748568593108,8.517283026958661e-10,1.0,0.0
0,6,195,201,local_bwar,24.0,1.0,0.07723132779288988,9.413343072904368e-10,1.0,0.0
0,6,196,202,local_bwar,24.0,1.0,0.08261609329602396,9.679365609318891e-10,1.0,0.0
0,6,197,203,local_bwar,24.0,1.0,0.08294327741340214,8.708066523427746e-10,1.0,0.0
0,6,198,204,local_bwar,24.0,1.0,0.08226475551013106,8.471197780571607e-10,1.0,0.0
0,6,199,205,local_bwar,24.0,1.0,0.08917444269661944,9.100139405026132e-10,1.0,0.0
0,6,200,206,local_bwar,24.0,1.0,0.09062606144161074,9.974245441608353e-10,1.0,0.0
0,6,201,207,local_bwar,24.0,1.0,0.0862650293043622,9.77795486644746e-10,1.0,0.0
0,6,202,208,local_bwar,24.0,1.0,0.08337783438234414,8.886634028325199e-11,1.0,0.0
0,6,203,209,local_bwar,24.0,1.0,0.09124870741381193,9.515380083546373e-11,1.0,0.0
0,6,204,210,local_bwar,24.0,1.0,0.09181829699680281,9.849618838825432e-10,1.0,0.0
0,6,205,211,local_bwar,24.0,1.0,0.11090999770969509,7.61351786648465e-10,1.0,0.0
0,6,206,212,local_bwar,24.0,1.0,0.12218122284291123,6.563319330738443e-10,1.0,0.0
0,6,207,213,local_bwar,24.0,1.0,0.1084938120018809,3.2187406401785714e-10,1.0,0.0
0,6,208,214,local_bwar,24.0,1.0,0.08803855212320093,1.5478732501733475e-10,1.0,0.0
0,6,209,215,local_bwar,24.0,1.0,0.10215642711889424,6.094862659626756e-11,1.0,0.0
0,6,210,216,local_bwar,24.0,1.0,0.1093340708572089,8.857168874880913e-10,1.0,0.0
0,6,211,217,local_bwar,24.0,1.0,0.13118482204594056,8.809116365861258e-10,1.0,0.0
0,6,212,218,local_bwar,24.0,1.0,0.13583863415662956,8.811005194716779e-10,1.0,0.0
0,6,213,219,local_bwar,24.0,1.0,0.1426212304697464,8.536607723974579e-10,1.0,0.0
0,6,214,220,local_bwar,24.0,1.0,0.1391953501227382,9.081238590359876e-10,1.0,0.0
0,6,215,221,local_bwar,24.0,1.0,0.11801952155183716,9.248441330489828e-10,1.0,0.0
0,6,216,222,local_bwar,24.0,1.0,0.09561792730245111,8.84330266182373e-10,1.0,0.0
0,6,217,223,local_bwar,24.0,1.0,0.10329507083084838,9.003097641144808e-10,1.0,0.0
1,3,221,224,local_bwar,48.0,1.0,0.08752130700496563,1.0961141561225875e-10,1.0,0.0
1,3,222,225,local_bwar,48.0,1.0,0.11838049371728794,1.0702956240852152e-10,1.0,0.0
1,3,223,226,local_bwar,48.0,1.0,0.10209277800404891,1.0344362860095621e-10,1.0,0.0
1,3,224,227,local_bwar,48.0,1.0,0.0878470950117124,1.0313769375047309e-10,1.0,0.0
1,3,225,228,local_bwar,48.0,1.0,0.1310496119014078,1.0286809378378291e-10,1.0,0.0
1,3,226,229,local_bwar,48.0,1.0,0.14443074633359507,1.064090545511832e-10,1.0,0.0
1,3,227,230,local_bwar,48.0,1.0,0.09348759441406138,1.0631821645568128e-10,1.0,0.0
1,3,228,231,local_bwar,48.0,1.0,0.1325545738420412,1.1040051694190929e-10,1.0,0.0
1,3,229,232,local_bwar,48.0,1.0,0.11292574792436902,1.0944881147254035e-10,1.0,0.0
1,3,230,233,local_bwar,48.0,1.0,0.1391526323654354,1.107483081651525e-10,1.0,0.0
1,3,231,234,local_bwar,48.0,1.0,0.08242549263541527,6.749373691430928e-11,1.0,0.0
1,3,232,235,local_bwar,48.0,1.0,0.0834399762990534,8.971006627263896e-10,1.0,0.0
1,3,233,236,local_bwar,48.0,1.0,0.10384750270945668,6.036738771358502e-10,1.0,0.0
1,3,234,237,local_bwar,48.0,1.0,0.08585397833909011,4.814975875371643e-10,1.0,0.0
1,3,235,238,local_bwar,48.0,1.0,0.10088751928821171,4.95271465943576e-10,1.0,0.0
1,3,236,239,local_bwar,48.0,1.0,0.10362006210445658,5.374929112250832e-10,1.0,0.0
1,3,237,240,local_bwar,48.0,1.0,0.10797627564932942,5.49318038955511e-10,1.0,0.0
1,3,238,241,local_bwar,48.0,1.0,0.0637887876329839,5.965624315113499e-10,1.0,0.0
1,3,239,242,local_bwar,48.0,1.0,0.0988043015251163,6.872107103968496e-10,1.0,0.0
1,3,240,243,local_bwar,48.0,1.0,0.10909530021060995,7.048620126013557e-10,1.0,0.0
1,3,241,244,local_bwar,48.0,1.0,0.1216955148782639,7.01855277196794e-10,1.0,0.0
1,3,242,245,local_bwar,48.0,1.0,0.050823697554942024,7.427804596105751e-10,1.0,0.0
1,3,243,246,local_bwar,48.0,1.0,0.0651565638806172,8.709688984947927e-10,1.0,0.0
1,3,244,247,local_bwar,48.0,1.0,0.12409474743308599,8.323485887976386e-10,1.0,0.0
1,3,245,248,local_bwar,48.0,1.0,0.09917501337030596,8.21848967338148e-10,1.0,0.0
1,3,246,249,local_bwar,48.0,1.0,0.061497474954227055,7.915324230532879e-10,1.0,0.0
1,3,247,250,local_bwar,48.0,1.0,0.04274180028606082,7.877196254345386e-10,1.0,0.0
