setting,seed,n,d,phi,dispersion,window_length,fit_end,validation_end,method,ridge,validation_w2_mean,w2_mean,w2_ratio_mean,n_test_origins,min_pred_eig,mean_shift_strength,covariance_shift_strength,coordinate_dimension,reference_condition
No shift,5,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.16519855022695212,0.17641372035664993,0.9598139014871365,91,0.1367008163639193,0.35,0.8,20,6.0
No shift,5,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.15998130737867153,0.17379087349904052,0.9455437819617621,91,0.11028196267444504,0.35,0.8,20,6.0
No shift,5,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.1582539302921331,0.16895711697924606,0.9192447690804327,91,0.18558528209933153,0.35,0.8,20,6.0
No shift,5,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.15780340176947638,0.16907183355934383,0.9198689074302521,91,0.17801709554420725,0.35,0.8,20,6.0
No shift,6,260,5,0.7,0.16,36,117,169,persistence,,,0.15952149789917922,1.0,91,0.11038537792230192,0.35,0.8,20,6.0
No shift,6,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.15533095039281578,0.1487545286527306,0.932504587856531,91,0.2587081323295772,0.35,0.8,20,6.0
No shift,6,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.1612595841813516,0.1503132312562537,0.9422757009920674,91,0.18252719412093044,0.35,0.8,20,6.0
No shift,6,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.15461295058511706,0.1476747115035836,0.9257354867424639,91,0.18575506255892235,0.35,0.8,20,6.0
No shift,6,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.15121710601679672,0.14562803921015657,0.9129054148062,91,0.19982066950083907,0.35,0.8,20,6.0
No shift,6,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.15204876039987178,0.14565971647775852,0.9131039916000436,91,0.20004052924718552,0.35,0.8,20,6.0
No shift,7,260,5,0.7,0.16,36,117,169,persistence,,,0.19612824001807946,1.0,91,0.09901678486246172,0.35,0.8,20,6.0
No shift,7,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.1935336198820608,0.18087537117085856,0.9222301243012486,91,0.2050965370260491,0.35,0.8,20,6.0
No shift,7,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.19416804977970348,0.1813058242167574,0.9244248773151907,91,0.21508761227045312,0.35,0.8,20,6.0
No shift,7,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.19085600349162785,0.18131203411412425,0.9244565397487408,91,0.183041639083739,0.35,0.8,20,6.0
No shift,7,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.18985177623924432,0.17715708874840877,0.9032716998433173,91,0.18962207894034522,0.35,0.8,20,6.0
No shift,7,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.1899689391630162,0.17747094125326207,0.904871941118232,91,0.19138090327868282,0.35,0.8,20,6.0
No shift,8,260,5,0.7,0.16,36,117,169,persistence,,,0.1860375384062275,1.0,91,0.07842825875832116,0.35,0.8,20,6.0
No shift,8,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.19153665991043123,0.1825489742722383,0.9812480633539041,91,0.23563585670819195,0.35,0.8,20,6.0
No shift,8,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.19318650447361152,0.1926301646926783,1.035437075457617,91,0.17835215040285574,0.35,0.8,20,6.0
