drift_strength,setting,seed,n,d,phi,dispersion,window_length,fit_end,validation_end,method,ridge,validation_w2_mean,w2_mean,w2_ratio_mean,n_test_origins,min_pred_eig,mean_shift_strength,covariance_shift_strength,coordinate_dimension,reference_condition
0.0,Gradual joint shift,4,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.1557446297911848,0.13769758085881104,0.9171247713361482,91,0.22559962237182676,0.0,0.0,20,6.0
0.0,Gradual joint shift,4,260,5,0.7,0.16,36,117,169,persistence,,,0.15014050995286177,1.0,91,0.16097797997796945,0.0,0.0,20,6.0
0.0,Gradual joint shift,5,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.16519855022695074,0.17641372035664935,0.9598139014871455,91,0.13670081636391918,0.0,0.0,20,6.0
0.0,Gradual joint shift,5,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.16269685716416088,0.17153141015668066,0.9332507226605289,91,0.31289442639465204,0.0,0.0,20,6.0
0.0,Gradual joint shift,5,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.15825393029213494,0.1689571169792471,0.9192447690804499,91,0.1855852820993304,0.0,0.0,20,6.0
0.0,Gradual joint shift,5,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.15780340176947696,0.16907183355934396,0.9198689074302645,91,0.1780170955442072,0.0,0.0,20,6.0
0.0,Gradual joint shift,5,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.159981307378671,0.17379087349904168,0.9455437819617806,91,0.11028196267444414,0.0,0.0,20,6.0
0.0,Gradual joint shift,5,260,5,0.7,0.16,36,117,169,persistence,,,0.18379992213418883,1.0,91,0.029877203730560995,0.0,0.0,20,6.0
0.0,Gradual joint shift,6,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.16125958418135053,0.15031323125625237,0.9422757009920718,91,0.18252719412092955,0.0,0.0,20,6.0
0.0,Gradual joint shift,6,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.15533095039281575,0.1487545286527304,0.9325045878565424,91,0.25870813232957723,0.0,0.0,20,6.0
0.0,Gradual joint shift,6,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.15121710601679805,0.14562803921015569,0.9129054148062069,91,0.19982066950084065,0.0,0.0,20,6.0
0.0,Gradual joint shift,6,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.15204876039987192,0.14565971647775874,0.9131039916000574,91,0.20004052924718727,0.0,0.0,20,6.0
0.0,Gradual joint shift,6,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.15461295058511396,0.14767471150358244,0.9257354867424692,91,0.18575506255892305,0.0,0.0,20,6.0
0.0,Gradual joint shift,6,260,5,0.7,0.16,36,117,169,persistence,,,0.15952149789917705,1.0,91,0.11038537792230214,0.0,0.0,20,6.0
0.0,Gradual joint shift,7,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.19416804977970398,0.18130582421675664,0.9244248773151937,91,0.21508761227045356,0.0,0.0,20,6.0
0.0,Gradual joint shift,7,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.1935336198820617,0.18087537117085875,0.9222301243012564,91,0.20509653702604938,0.0,0.0,20,6.0
0.0,Gradual joint shift,7,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.1898517762392484,0.17715708874841027,0.9032716998433316,91,0.18962207894034475,0.0,0.0,20,6.0
0.0,Gradual joint shift,7,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.189968939163016,0.17747094125326235,0.9048719411182401,91,0.19138090327868262,0.0,0.0,20,6.0
0.0,Gradual joint shift,7,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.1908560034916273,0.18131203411412317,0.9244565397487421,91,0.18304163908373877,0.0,0.0,20,6.0
0.0,Gradual joint shift,7,260,5,0.7,0.16,36,117,169,persistence,,,0.19612824001807802,1.0,91,0.09901678486246122,0.0,0.0,20,6.0
0.0,Gradual joint shift,8,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.19318650447361163,0.1926301646926792,1.0354370754576203,91,0.17835215040285493,0.0,0.0,20,6.0
0.0,Gradual joint shift,8,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.1915366599104285,0.18254897427223593,0.9812480633538899,91,0.2356358567081924,0.0,0.0,20,6.0
0.0,Gradual joint shift,8,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.18829681490829164,0.17862222395742886,0.9601407623841647,91,0.19358121551907106,0.0,0.0,20,6.0
0.0,Gradual joint shift,8,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.1896342207401274,0.17895297751620293,0.9619186485119194,91,0.18955656477182398,0.0,0.0,20,6.0
0.0,Gradual joint shift,8,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.19110427376547034,0.1849563886984198,0.9941885400276196,91,0.170688585308912,0.0,0.0,20,6.0
0.0,Gradual joint shift,8,260,5,0.7,0.16,36,117,169,persistence,,,0.18603753840622778,1.0,91,0.07842825875832173,0.0,0.0,20,6.0
0.0,Gradual joint shift,9,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.2019042373778443,0.17294391732758385,0.963365356249728,91,0.17697781460236012,0.0,0.0,20,6.0
0.0,Gradual joint shift,9,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.20145195001790778,0.17024061582358835,0.94830690807364,91,0.24834262331658052,0.0,0.0,20,6.0
0.0,Gradual joint shift,9,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.19706422091969789,0.1666334295249477,0.9282134675679136,91,0.19522534476163697,0.0,0.0,20,6.0
0.0,Gradual joint shift,9,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.19672429747037684,0.16710249322820167,0.930826336112652,91,0.1946695757477276,0.0,0.0,20,6.0
0.0,Gradual joint shift,9,260,5,0.7,0.16,36,117,169,log_euclidean,0.0001,0.197688384404776,0.16935883461550752,0.9433950413784498,91,0.17438934066566095,0.0,0.0,20,6.0
0.0,Gradual joint shift,9,260,5,0.7,0.16,36,117,169,persistence,,,0.17952059019522448,1.0,91,0.06383321212091152,0.0,0.0,20,6.0
0.0,Gradual joint shift,10,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.18064554267608843,0.19937407259131618,0.9605174927027756,91,0.26574117853801726,0.0,0.0,20,6.0
0.0,Gradual joint shift,10,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.18212396213409976,0.19251737903126176,0.9274842400790261,91,0.35021410162425454,0.0,0.0,20,6.0
0.0,Gradual joint shift,10,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.1764923191225729,0.18949088463912842,0.912903603954038,91,0.28362035201808117,0.0,0.0,20,6.0
0.0,Gradual joint shift,10,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.1770344379665302,0.1895295694961846,0.9130899746361545,91,0.28433655183237194,0.0,0.0,20,6.0
0.0,Gradual joint shift,10,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.17858099834410388,0.19305082083399708,0.9300541839850046,91,0.2427767570160417,0.0,0.0,20,6.0
0.0,Gradual joint shift,10,260,5,0.7,0.16,36,117,169,persistence,,,0.20756943429557181,1.0,91,0.1340863364515864,0.0,0.0,20,6.0
0.0,Gradual joint shift,11,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.18728815655589695,0.20167188463836536,1.0032205301273176,91,0.26623830192238096,0.0,0.0,20,6.0
0.0,Gradual joint shift,11,260,5,0.7,0.16,36,117,169,euclidean,0.0001,0.19423023508597362,0.19395140514033107,0.9648148616884876,91,0.28316394521611,0.0,0.0,20,6.0
0.0,Gradual joint shift,11,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.18380882067267798,0.18916164475422545,0.940988109821968,91,0.2626966675773299,0.0,0.0,20,6.0
0.0,Gradual joint shift,11,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.1831798487628143,0.19079160670556794,0.949096385776474,91,0.2654626410561508,0.0,0.0,20,6.0
0.0,Gradual joint shift,11,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.18215374221417474,0.1963896247857052,0.9769438305310476,91,0.2577688423777755,0.0,0.0,20,6.0
0.0,Gradual joint shift,11,260,5,0.7,0.16,36,117,169,persistence,,,0.20102447924662326,1.0,91,0.1255095917722278,0.0,0.0,20,6.0
0.0,Gradual joint shift,12,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.16979262208456627,0.18537215138825755,0.9921202110912382,91,0.2817126121796603,0.0,0.0,20,6.0
0.0,Gradual joint shift,12,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.164998731191256,0.18827328398267995,1.0076472050891314,91,0.22961781936977965,0.0,0.0,20,6.0
0.0,Gradual joint shift,12,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.16111081348071005,0.1813844198027255,0.970777689721203,91,0.29415703784280123,0.0,0.0,20,6.0
0.0,Gradual joint shift,12,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.16127751931193846,0.18259461185434162,0.9772546927916135,91,0.2926340151930278,0.0,0.0,20,6.0
0.0,Gradual joint shift,12,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.16318586805319338,0.18168495652478395,0.9723861759684431,91,0.29050228608049394,0.0,0.0,20,6.0
0.0,Gradual joint shift,12,260,5,0.7,0.16,36,117,169,persistence,,,0.18684444618295373,1.0,91,0.19898050744610746,0.0,0.0,20,6.0
0.0,Gradual joint shift,13,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.17893311365008333,0.15290523250641955,0.907352578804121,91,0.24292020862231958,0.0,0.0,20,6.0
0.0,Gradual joint shift,13,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.1799553452960208,0.15615801163914417,0.9266548452208965,91,0.30546925873243636,0.0,0.0,20,6.0
0.0,Gradual joint shift,13,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.17392334722337852,0.1525059217444034,0.9049830349780495,91,0.26763590637500456,0.0,0.0,20,6.0
0.0,Gradual joint shift,13,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.17401892253494294,0.15286411329452015,0.9071085739238188,91,0.26702426918402916,0.0,0.0,20,6.0
0.0,Gradual joint shift,13,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.17936916898966412,0.1540310690053334,0.9140333877853205,91,0.25858659250084537,0.0,0.0,20,6.0
0.0,Gradual joint shift,13,260,5,0.7,0.16,36,117,169,persistence,,,0.1685179896749141,1.0,91,0.16708501368250475,0.0,0.0,20,6.0
0.0,Gradual joint shift,14,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.16262110043221745,0.153453289675791,0.9442890734759456,91,0.2552044948379767,0.0,0.0,20,6.0
0.0,Gradual joint shift,14,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.1567643728608237,0.14887808984410214,0.9161351562861576,91,0.3116492200349439,0.0,0.0,20,6.0
0.0,Gradual joint shift,14,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.15034428270810868,0.1461730704091478,0.8994895679031121,91,0.2608732350225346,0.0,0.0,20,6.0
0.0,Gradual joint shift,14,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.1507627034009667,0.14676115192361563,0.9031083821338035,91,0.260809367012133,0.0,0.0,20,6.0
0.0,Gradual joint shift,14,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.15469601844345002,0.1486599262861793,0.9147926665655891,91,0.22755375217183896,0.0,0.0,20,6.0
0.0,Gradual joint shift,14,260,5,0.7,0.16,36,117,169,persistence,,,0.16250668782063377,1.0,91,0.14341813548148957,0.0,0.0,20,6.0
0.0,Gradual joint shift,15,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.17388892445017395,0.2037178636114691,0.9997067280409352,91,0.16392290148858513,0.0,0.0,20,6.0
0.0,Gradual joint shift,15,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.17534160136333357,0.2005195472995798,0.9840115981258835,91,0.1590889097325573,0.0,0.0,20,6.0
0.0,Gradual joint shift,15,260,5,0.7,0.16,36,117,169,fixed_bwar,0.0001,0.1675271406156103,0.1966533749988905,0.9650390917769262,91,0.18020737525709019,0.0,0.0,20,6.0
0.0,Gradual joint shift,15,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.16814638597477896,0.19673884386428306,0.9654585140026272,91,0.17610677780363385,0.0,0.0,20,6.0
0.0,Gradual joint shift,15,260,5,0.7,0.16,36,117,169,log_euclidean,0.0001,0.17157645840177232,0.19989437592761333,0.9809436883429424,91,0.16510020840141437,0.0,0.0,20,6.0
0.0,Gradual joint shift,15,260,5,0.7,0.16,36,117,169,persistence,,,0.20377762587502304,1.0,91,0.11527457856142001,0.0,0.0,20,6.0
0.0,Gradual joint shift,16,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.19401516514937386,0.18608330643347676,0.9836615036344426,91,0.24426839663109975,0.0,0.0,20,6.0
0.0,Gradual joint shift,16,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.19223142231991355,0.18370354216802448,0.9710817481447306,91,0.2351453947053729,0.0,0.0,20,6.0
0.0,Gradual joint shift,16,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.18980293592766742,0.17929695765134263,0.9477879469185517,91,0.24137428815471837,0.0,0.0,20,6.0
0.0,Gradual joint shift,16,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.1895064023195426,0.17972462640012357,0.9500486617163819,91,0.2435496409727672,0.0,0.0,20,6.0
0.0,Gradual joint shift,16,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.19235641573354473,0.18311794441798604,0.9679861993049764,91,0.2303554594512231,0.0,0.0,20,6.0
0.0,Gradual joint shift,16,260,5,0.7,0.16,36,117,169,persistence,,,0.18917412722357665,1.0,91,0.15252809376049656,0.0,0.0,20,6.0
0.0,Gradual joint shift,17,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.16532437158245056,0.17790306229426348,0.9510950811690635,91,0.07335673753268722,0.0,0.0,20,6.0
0.0,Gradual joint shift,17,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.16266750898578333,0.17480754951587274,0.934546029459354,91,0.1735580849534938,0.0,0.0,20,6.0
0.0,Gradual joint shift,17,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.15742189609887774,0.17248514435879075,0.9221301210826405,91,0.11032409043039648,0.0,0.0,20,6.0
0.0,Gradual joint shift,17,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.15854274885736355,0.1738038511182658,0.9291801150302801,91,0.10818704929565644,0.0,0.0,20,6.0
0.0,Gradual joint shift,17,260,5,0.7,0.16,36,117,169,log_euclidean,0.0001,0.16198226748421998,0.18040707118110855,0.9644818689217258,91,0.08753990682725776,0.0,0.0,20,6.0
0.0,Gradual joint shift,17,260,5,0.7,0.16,36,117,169,persistence,,,0.18705076476222468,1.0,91,0.03989775332460467,0.0,0.0,20,6.0
