regime,target_delta,horizon,method,n_replications,percent_change_mean,percent_change_se,test_w2_mean,test_w2_se,loss_ratio_mean,loss_ratio_se,repair_rate,start_reference_distance,end_reference_distance,percent_change_ci_low,percent_change_ci_high,test_w2_ci_low,test_w2_ci_high,loss_ratio_ci_low,loss_ratio_ci_high
stable,0.0,1,persistence,100,-18.88767976925677,0.3929756331261185,0.12016997566382472,0.0005282768586825635,1.0,0.0,0.0,4.50603908338973e-08,4.50603908338973e-08,-19.657912010183964,-18.117447528329578,0.11913455302080689,0.12120539830684254,1.0,1.0
stable,0.0,1,euclidean,100,-2.9223962142748814,0.28912839851908406,0.14402087970060548,0.0008230827645223282,1.198645840960194,0.004805625238684533,0.0,4.50603908338973e-08,4.50603908338973e-08,-3.4890878753722863,-2.3557045531774765,0.14240763748214172,0.14563412191906924,1.1892268154923724,1.2080648664280158
stable,0.0,1,cholesky,100,-3.7778144233331985,0.23817059307477556,0.14275552628275037,0.0007851624551992724,1.188159386100789,0.004543663586140981,0.0,4.50603908338973e-08,4.50603908338973e-08,-4.244628785759758,-3.3110000609066383,0.14121660787055978,0.14429444469494096,1.1792538054719528,1.1970649667296254
stable,0.0,1,log_euclidean,100,-3.9887862565782526,0.20599118669625605,0.14245785342893857,0.0007902746252622321,1.1857461840793473,0.0047761365378206615,0.0,4.50603908338973e-08,4.50603908338973e-08,-4.392528982502914,-3.5850435306535906,0.1409089151634246,0.14400679169445255,1.176384956465219,1.1951074116934757
stable,0.0,1,fixed,100,0.0,0.0,0.1483999741587525,0.0008015276019647463,1.2357134922891893,0.005970331871026848,0.0,4.50603908338973e-08,4.50603908338973e-08,0.0,0.0,0.1468289800589016,0.1499709682586034,1.2240116418219766,1.2474153427564019
stable,0.0,1,local,100,0.13131081554041818,0.04726188603662912,0.1485910850946303,0.0007984232628331896,1.237311601325829,0.005960030513999004,0.0,4.50603908338973e-08,4.50603908338973e-08,0.038677518908625114,0.22394411217221125,0.14702617549947725,0.15015599468978333,1.2256299415183909,1.248993261133267
stable,0.0,3,persistence,100,20.241230796135497,0.801675361569464,0.2641044281693533,0.0014704001931978255,1.0,0.0,0.0,4.50603908338973e-08,4.50603908338973e-08,18.66994708745935,21.812514504811645,0.2612224437906856,0.266986412548021,1.0,1.0
stable,0.0,3,euclidean,100,1.522397508516876,0.23009874312147197,0.22390158054517056,0.001908296138563817,0.8475054643411366,0.0050983784171344014,0.0,4.50603908338973e-08,4.50603908338973e-08,1.071403971998791,1.973391045034961,0.2201613201135855,0.22764184097675563,0.8375126426435532,0.85749828603872
stable,0.0,3,cholesky,100,1.2056215948202638,0.27286613226148293,0.22324283136577489,0.0019801196648062446,0.8448444447391104,0.005217904156677186,0.0,4.50603908338973e-08,4.50603908338973e-08,0.6708039755877573,1.7404392140527702,0.21936179682275464,0.22712386590879513,0.8346173525920231,0.8550715368861976
stable,0.0,3,log_euclidean,100,1.9127877063019858,0.24788488147072235,0.22486134510279718,0.00203898414182446,0.8509135256559928,0.005419268294214136,0.0,4.50603908338973e-08,4.50603908338973e-08,1.4269333386193699,2.3986420739846017,0.22086493618482123,0.22885775402077313,0.840291759799333,0.8615352915126525
stable,0.0,3,fixed,100,0.0,0.0,0.2206383436085029,0.0019258787830913012,0.8354192310572178,0.0057278293062151394,0.0,4.50603908338973e-08,4.50603908338973e-08,0.0,0.0,0.21686362119364394,0.22441306602336186,0.8241926856170362,0.8466457764973995
stable,0.0,3,local,100,0.17210834418182963,0.023841168158200945,0.22101215802172658,0.0019226700541681127,0.8368368508329468,0.005708975599519695,0.0,4.50603908338973e-08,4.50603908338973e-08,0.1253796545917558,0.21883703377190347,0.21724372471555708,0.22478059132789607,0.8256472586578882,0.8480264430080053
stable,0.0,6,persistence,100,50.686556607098275,1.1443003667743041,0.3604016856286531,0.0027143010090004806,1.0,0.0,0.0,4.50603908338973e-08,4.50603908338973e-08,48.443727888220636,52.929385325975915,0.3550816556510122,0.365721715606294,1.0,1.0
stable,0.0,6,euclidean,100,0.854596956645845,0.14890817776130527,0.24246700704039748,0.0024971208137600726,0.6730158988162954,0.005051817832223466,0.0,4.50603908338973e-08,4.50603908338973e-08,0.5627369282336867,1.1464569850580033,0.23757265024542773,0.24736136383536722,0.6631143358651375,0.6829174617674534
stable,0.0,6,cholesky,100,1.6916244396800755,0.15659847298662938,0.244479796859023,0.002521887181216682,0.6785462853259855,0.005035658110921962,0.0,4.50603908338973e-08,4.50603908338973e-08,1.384691432626282,1.998557446733869,0.2395368979838383,0.2494226957342077,0.6686763954285785,0.6884161752233925
stable,0.0,6,log_euclidean,100,1.4422118299329065,0.16523522553786352,0.24393304300231033,0.0025704720850788622,0.67695139762636,0.005133607719254917,0.0,4.50603908338973e-08,4.50603908338973e-08,1.118350787878694,1.766072871987119,0.23889491771555577,0.2489711682890649,0.6668895264966204,0.6870132687560997
stable,0.0,6,fixed,100,0.0,0.0,0.2404189046255769,0.002459211657549496,0.6674573955675043,0.005125207765059583,0.0,4.50603908338973e-08,4.50603908338973e-08,0.0,0.0,0.2355988497767799,0.24523895947437394,0.6574119883479875,0.677502802787021
stable,0.0,6,local,100,0.220003226314827,0.007303759522689707,0.2409501321561898,0.002466797672466794,0.6689306750410959,0.005143330310988686,0.0,4.50603908338973e-08,4.50603908338973e-08,0.20568785765035516,0.23431859497929883,0.2361152087181549,0.2457850555942247,0.6588497476315581,0.6790116024506337
continuing,0.0,1,persistence,100,-18.88767976925677,0.3929756331261185,0.12016997566382472,0.0005282768586825635,1.0,0.0,0.0,4.50603908338973e-08,4.50603908338973e-08,-19.657912010183964,-18.117447528329578,0.11913455302080689,0.12120539830684254,1.0,1.0
continuing,0.0,1,euclidean,100,-2.9223962142748814,0.28912839851908406,0.14402087970060548,0.0008230827645223282,1.198645840960194,0.004805625238684533,0.0,4.50603908338973e-08,4.50603908338973e-08,-3.4890878753722863,-2.3557045531774765,0.14240763748214172,0.14563412191906924,1.1892268154923724,1.2080648664280158
